+------+-------+-----+--------------------+----------------+--------+-----------+-----------+----------+
| bits | alpha |  c  | run time (seconds) | avg. red. time | trials | not short | **found** | repeated |
|  28  |  1.8  | 1.3 |        89.1        |     0.2861     |  311   |    0.83   |    0.15   |   0.01   |
|  28  |  1.8  | 1.4 |       132.82       |     0.284      |  467   |    0.89   |    0.1    |   0.0    |
|  28  |  1.9  | 1.0 |       112.41       |     0.4509     |  249   |    0.71   |    0.24   |   0.05   |
|  28  |  1.9  | 1.1 |       155.62       |     0.4828     |  322   |    0.8    |    0.19   |   0.01   |
|  28  |  1.9  | 1.2 |       179.02       |     0.4885     |  366   |    0.82   |    0.16   |   0.02   |
|  28  |  1.9  | 1.3 |       155.53       |     0.4569     |  340   |    0.81   |    0.18   |   0.01   |
|  28  |  1.9  | 1.4 |       223.44       |     0.4649     |  480   |    0.87   |    0.12   |   0.0    |
|      |       |     |                    |                |        |           |           |          |
|  30  |  1.6  | 1.0 |       48.25        |     0.1251     |  385   |    0.83   |    0.08   |   0.09   |
|  30  |  1.6  | 1.1 |       51.63        |     0.1265     |  407   |    0.78   |    0.08   |   0.14   |
|  30  |  1.6  | 1.2 |       50.44        |     0.1255     |  401   |    0.79   |    0.08   |   0.13   |
|  30  |  1.6  | 1.3 |       60.35        |     0.1281     |  470   |    0.86   |    0.07   |   0.07   |
|  30  |  1.6  | 1.4 |       136.58       |     0.1274     |  1070  |    0.91   |    0.03   |   0.06   |
|  30  |  1.7  | 1.0 |       50.48        |     0.1916     |  263   |    0.78   |    0.15   |   0.07   |
|  30  |  1.7  | 1.1 |       38.89        |     0.1911     |  203   |    0.76   |    0.19   |   0.05   |
|  30  |  1.7  | 1.2 |       54.48        |     0.1874     |  290   |    0.83   |    0.13   |   0.04   |
|  30  |  1.7  | 1.3 |       66.97        |     0.1878     |  356   |    0.85   |    0.11   |   0.04   |
|  30  |  1.7  | 1.4 |       65.52        |     0.1874     |  349   |    0.85   |    0.11   |   0.04   |
|  30  |  1.8  | 1.0 |       64.25        |     0.2982     |  215   |    0.75   |    0.23   |   0.02   |
|  30  |  1.8  | 1.1 |       99.47        |     0.2947     |  337   |    0.8    |    0.15   |   0.05   |
|  30  |  1.8  | 1.2 |       109.01       |     0.2957     |  368   |    0.83   |    0.13   |   0.03   |
|  30  |  1.8  | 1.3 |       109.64       |     0.2999     |  365   |    0.85   |    0.13   |   0.02   |
|  30  |  1.8  | 1.4 |       116.83       |     0.3249     |  359   |    0.85   |    0.14   |   0.02   |
|  30  |  1.9  | 1.0 |       172.83       |     0.5379     |  321   |    0.77   |    0.2    |   0.04   |
|  30  |  1.9  | 1.1 |       158.52       |     0.5124     |  309   |    0.78   |    0.2    |   0.01   |
|  30  |  1.9  | 1.2 |       224.63       |     0.5065     |  443   |    0.85   |    0.14   |   0.01   |
|  30  |  1.9  | 1.3 |       254.12       |     0.5149     |  493   |    0.87   |    0.13   |   0.0    |
|  30  |  1.9  | 1.4 |       301.43       |     0.5102     |  590   |    0.89   |    0.11   |   0.0    |
|      |       |     |                    |                |        |           |           |          |
+------+-------+-----+--------------------+----------------+--------+-----------+-----------+----------+
